Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SA0,2018,M05,2018 May,251.588,2.8
CUUR0000SA0,2018,M06,2018 Jun,251.989,2.9
CUUR0000SA0,2018,M07,2018 Jul,252.006,2.9
CUUR0000SA0,2018,M08,2018 Aug,252.146,2.7
CUUR0000SA0,2018,M09,2018 Sep,252.439,2.3
CUUR0000SA0,2018,M10,2018 Oct,252.885,2.5
CUUR0000SA0,2018,M11,2018 Nov,252.038,2.2
CUUR0000SA0,2018,M12,2018 Dec,251.233,1.9
CUUR0000SA0,2019,M01,2019 Jan,251.712,1.6
CUUR0000SA0,2019,M02,2019 Feb,252.776,1.5
CUUR0000SA0,2019,M03,2019 Mar,254.202,1.9
CUUR0000SA0,2019,M04,2019 Apr,255.548,2.0
CUUR0000SA0,2019,M05,2019 May,256.092,1.8
CUUR0000SA0,2019,M06,2019 Jun,256.143,1.6
CUUR0000SA0,2019,M07,2019 Jul,256.571,1.8
CUUR0000SA0,2019,M08,2019 Aug,256.558,1.7
CUUR0000SA0,2019,M09,2019 Sep,256.759,1.7
CUUR0000SA0,2019,M10,2019 Oct,257.346,1.8
CUUR0000SA0,2019,M11,2019 Nov,257.208,2.1
CUUR0000SA0,2019,M12,2019 Dec,256.974,2.3
CUUR0000SA0,2020,M01,2020 Jan,257.971,2.5
CUUR0000SA0,2020,M02,2020 Feb,258.678,2.3
CUUR0000SA0,2020,M03,2020 Mar,258.115,1.5
CUUR0000SA0,2020,M04,2020 Apr,256.389,0.3
CUUR0000SA0,2020,M05,2020 May,256.394,0.1
CUUR0000SA0,2020,M06,2020 Jun,257.797,0.6
CUUR0000SA0,2020,M07,2020 Jul,259.101,1.0
CUUR0000SA0,2020,M08,2020 Aug,259.918,1.3
CUUR0000SA0,2020,M09,2020 Sep,260.280,1.4
CUUR0000SA0,2020,M10,2020 Oct,260.388,1.2
CUUR0000SA0,2020,M11,2020 Nov,260.229,1.2
CUUR0000SA0,2020,M12,2020 Dec,260.474,1.4
CUUR0000SA0,2021,M01,2021 Jan,261.582,1.4
CUUR0000SA0,2021,M02,2021 Feb,263.014,1.7
CUUR0000SA0,2021,M03,2021 Mar,264.877,2.6
CUUR0000SA0,2021,M04,2021 Apr,267.054,4.2
CUUR0000SA0,2021,M05,2021 May,269.195,5.0
CUUR0000SA0,2021,M06,2021 Jun,271.696,5.4
CUUR0000SA0,2021,M07,2021 Jul,273.003,5.4
CUUR0000SA0,2021,M08,2021 Aug,273.567,5.3
CUUR0000SA0,2021,M09,2021 Sep,274.310,5.4
CUUR0000SA0,2021,M10,2021 Oct,276.589,6.2
CUUR0000SA0,2021,M11,2021 Nov,277.948,6.8
CUUR0000SA0,2021,M12,2021 Dec,278.802,7.0
CUUR0000SA0,2022,M01,2022 Jan,281.148,7.5
CUUR0000SA0,2022,M02,2022 Feb,283.716,7.9
CUUR0000SA0,2022,M03,2022 Mar,287.504,8.5
CUUR0000SA0,2022,M04,2022 Apr,289.109,8.3
