Series ID,Year,Period,Label,Value,12-Month % Change
CUUR0000SA0,1989,M03,1989 Mar,122.3,5.0
CUUR0000SA0,1989,M04,1989 Apr,123.1,5.1
CUUR0000SA0,1989,M05,1989 May,123.8,5.4
CUUR0000SA0,1989,M06,1989 Jun,124.1,5.2
CUUR0000SA0,1989,M07,1989 Jul,124.4,5.0
CUUR0000SA0,1989,M08,1989 Aug,124.6,4.7
CUUR0000SA0,1989,M09,1989 Sep,125.0,4.3
CUUR0000SA0,1989,M10,1989 Oct,125.6,4.5
CUUR0000SA0,1989,M11,1989 Nov,125.9,4.7
CUUR0000SA0,1989,M12,1989 Dec,126.1,4.6
CUUR0000SA0,1990,M01,1990 Jan,127.4,5.2
CUUR0000SA0,1990,M02,1990 Feb,128.0,5.3
CUUR0000SA0,1990,M03,1990 Mar,128.7,5.2
CUUR0000SA0,1990,M04,1990 Apr,128.9,4.7
CUUR0000SA0,1990,M05,1990 May,129.2,4.4
CUUR0000SA0,1990,M06,1990 Jun,129.9,4.7
CUUR0000SA0,1990,M07,1990 Jul,130.4,4.8
CUUR0000SA0,1990,M08,1990 Aug,131.6,5.6
CUUR0000SA0,1990,M09,1990 Sep,132.7,6.2
CUUR0000SA0,1990,M10,1990 Oct,133.5,6.3
CUUR0000SA0,1990,M11,1990 Nov,133.8,6.3
CUUR0000SA0,1990,M12,1990 Dec,133.8,6.1
CUUR0000SA0,1991,M01,1991 Jan,134.6,5.7
CUUR0000SA0,1991,M02,1991 Feb,134.8,5.3
CUUR0000SA0,1991,M03,1991 Mar,135.0,4.9
CUUR0000SA0,1991,M04,1991 Apr,135.2,4.9
CUUR0000SA0,1991,M05,1991 May,135.6,5.0
CUUR0000SA0,1991,M06,1991 Jun,136.0,4.7
CUUR0000SA0,1991,M07,1991 Jul,136.2,4.4
CUUR0000SA0,1991,M08,1991 Aug,136.6,3.8
CUUR0000SA0,1991,M09,1991 Sep,137.2,3.4
CUUR0000SA0,1991,M10,1991 Oct,137.4,2.9
CUUR0000SA0,1991,M11,1991 Nov,137.8,3.0
CUUR0000SA0,1991,M12,1991 Dec,137.9,3.1
CUUR0000SA0,1992,M01,1992 Jan,138.1,2.6
CUUR0000SA0,1992,M02,1992 Feb,138.6,2.8
CUUR0000SA0,1992,M03,1992 Mar,139.3,3.2
CUUR0000SA0,1992,M04,1992 Apr,139.5,3.2
CUUR0000SA0,1992,M05,1992 May,139.7,3.0
CUUR0000SA0,1992,M06,1992 Jun,140.2,3.1
CUUR0000SA0,1992,M07,1992 Jul,140.5,3.2
CUUR0000SA0,1992,M08,1992 Aug,140.9,3.1
CUUR0000SA0,1992,M09,1992 Sep,141.3,3.0
CUUR0000SA0,1992,M10,1992 Oct,141.8,3.2
CUUR0000SA0,1992,M11,1992 Nov,142.0,3.0
CUUR0000SA0,1992,M12,1992 Dec,141.9,2.9
CUUR0000SA0,1993,M01,1993 Jan,142.6,3.3
CUUR0000SA0,1993,M02,1993 Feb,143.1,3.2
CUUR0000SA0,1993,M03,1993 Mar,143.6,3.1
CUUR0000SA0,1993,M04,1993 Apr,144.0,3.2
CUUR0000SA0,1993,M05,1993 May,144.2,3.2
CUUR0000SA0,1993,M06,1993 Jun,144.4,3.0
