,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28
39,2,39,CHI,Kyler Gordon,CB,22,2023,0,0,1,7,7,27,0,0,0,0,0,0,0,0,0,0,0,99,5,1.0,Washington,College Stats
40,2,40,SEA,Boye Mafe,DE,23,2023,0,0,0,8,8,33,0,0,0,0,0,0,0,0,0,0,0,63,,12.0,Minnesota,College Stats
41,2,41,SEA,Kenneth Walker III,RB,21,2023,0,0,1,16,16,30,0,0,0,0,0,447,1955,17,56,424,1,1,,,Michigan St.,College Stats
42,2,42,MIN,Andrew Booth,CB,21,2023,0,0,0,2,2,23,0,0,0,0,0,0,0,0,0,0,0,19,,,Clemson,College Stats
43,2,43,NYG,Wan'Dale Robinson,WR,21,2023,0,0,0,6,6,21,0,0,0,0,0,11,86,1,83,752,2,,,,Kentucky,College Stats
44,2,44,HOU,John Metchie,WR,22,2023,0,0,0,1,1,16,0,0,0,0,0,1,4,0,16,158,0,,,,Alabama,College Stats
45,2,45,BAL,David Ojabo,LB,22,2023,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,6,,2.0,Michigan,College Stats
46,2,46,DET,Josh Paschal,DE,22,2023,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,27,,3.0,Kentucky,College Stats
47,2,47,WAS,Phidarian Mathis,DT,24,2023,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,2,,,Alabama,College Stats
48,2,48,CHI,Jaquan Brisker,S,23,2023,0,0,1,9,9,30,0,0,0,0,0,0,0,0,0,0,0,139,2,5.0,Penn St.,College Stats
49,2,49,NOR,Alontae Taylor,DB,23,2023,0,0,1,9,9,30,0,0,0,0,0,0,0,0,0,0,0,95,2,1.0,Tennessee,College Stats
50,2,50,NWE,Tyquan Thornton,WR,22,2023,0,0,1,3,3,22,0,0,0,0,0,6,67,1,35,338,2,2,,,Baylor,College Stats
51,2,51,PHI,Cam Jurgens,OL,23,2023,0,0,0,5,5,28,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats
52,2,52,PIT,George Pickens,WR,21,2023,0,0,1,17,17,34,0,0,0,0,0,6,42,1,115,1941,9,1,,,Georgia,College Stats
53,2,53,IND,Alec Pierce,WR,22,2023,0,0,1,9,9,33,0,0,0,0,0,0,0,0,73,1107,4,,,,Cincinnati,College Stats
54,2,54,KAN,Skyy Moore,WR,21,2023,0,0,0,4,4,30,0,0,0,0,0,6,47,0,43,494,1,1,,,Western Michigan,College Stats
55,2,55,ARI,Trey McBride,TE,22,2023,0,0,1,10,10,33,0,0,0,0,0,0,0,0,110,1090,4,7,,,Colorado St.,College Stats
56,2,56,DAL,Sam Williams,DE,23,2023,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,30,,8.5,Mississippi,College Stats
57,2,57,TAM,Luke Goedeke,OL,23,2023,0,0,0,11,11,28,0,0,0,0,0,0,0,0,0,0,0,1,,,Central Michigan,College Stats
58,2,58,ATL,Troy Andersen,LB,23,2023,0,0,0,4,4,19,0,0,0,0,0,0,0,0,0,0,0,47,,0.5,Montana St.,
59,2,59,MIN,Ed Ingram,G,23,2023,0,0,1,13,13,32,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats
60,2,60,CIN,Cam Taylor-Britt,CB,22,2023,0,0,1,9,9,22,0,0,0,0,0,0,0,0,0,0,0,81,4,,Nebraska,College Stats
61,2,61,SFO,Drake Jackson,OLB,21,2023,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,12,1,6.0,USC,College Stats
62,2,62,KAN,Bryan Cook,S,23,2023,0,0,0,6,6,28,0,0,0,0,0,0,0,0,0,0,0,48,1,1.0,Cincinnati,College Stats
63,2,63,BUF,James Cook,RB,22,2023,0,1,0,18,18,33,0,0,0,0,0,326,1629,4,65,625,5,1,,,Georgia,College Stats
64,2,64,DEN,Nik Bonitto,OLB,22,2023,0,0,0,5,5,30,0,0,0,0,0,0,0,0,0,0,0,29,,9.5,Oklahoma,College Stats
65,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
66,3,65,JAX,Luke Fortner,G,24,2023,0,0,1,16,16,34,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
67,3,66,MIN,Brian Asamoah,LB,22,2023,0,0,0,2,2,29,0,0,0,0,0,0,0,0,0,0,0,13,,,Oklahoma,College Stats
68,3,67,NYG,Joshua Ezeudu,OL,22,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
69,3,68,CLE,Martin Emerson,CB,21,2023,0,0,0,8,8,33,0,0,0,0,0,0,0,0,0,0,0,96,4,1.0,Mississippi St.,College Stats
